No.overall,No. inseason,Title,Directed by,Written by,Original air date,U.S. viewers(millions)
61,1,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017 (2017-07-16)",10.11
62,2,Stormborn,Mark Mylod,Bryan Cogman,"July 23, 2017 (2017-07-23)",9.27
63,3,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017 (2017-07-30)",9.25
64,4,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017 (2017-08-06)",10.17
65,5,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017 (2017-08-13)",10.72
66,6,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017 (2017-08-20)",10.24
67,7,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017 (2017-08-27)",12.07
